name,id,url,bgcolor,handle
INFOS & BEWEISE,UCa2F4iy7Yf9Jt7xNutCS6eA,https://www.youtube.com/channel/UCa2F4iy7Yf9Jt7xNutCS6eA/videos,#369FAC,https://www.youtube.com/channel/UCa2F4iy7Yf9Jt7xNutCS6eA/videos
LearnAboutIslamUK,UCRn_FHEWKJRYOcPaXTqzFjQ,https://www.youtube.com/channel/UCRn_FHEWKJRYOcPaXTqzFjQ/videos,#87A041,https://www.youtube.com/user/LearnAboutIslamUK/videos
Lies Exposer,UCwyzPRY1SBfi8fmQuh90o-g,https://www.youtube.com/channel/UCwyzPRY1SBfi8fmQuh90o-g/videos,#bc7812,https://www.youtube.com/channel/UCwyzPRY1SBfi8fmQuh90o-g/videos
M.T,UCoq7qx3OxgM4xHuRC_SsBMA,https://www.youtube.com/channel/UCoq7qx3OxgM4xHuRC_SsBMA/videos,#0A4B56,https://www.youtube.com/c/mu5t11/videos
ManhadschDeutsch,UCy-VpM4cN8RUaw0YmF5_LGA,https://www.youtube.com/channel/UCy-VpM4cN8RUaw0YmF5_LGA/videos,#23364E,https://www.youtube.com/user/ManhadschDeutsch/videos
Manhaj Al-Haqq (منهج الحق),UCEecJ-pflmF8GIHcftE2T4Q,https://www.youtube.com/channel/UCEecJ-pflmF8GIHcftE2T4Q/videos,#2AC0C9,https://www.youtube.com/user/WeFilmHD/videos
Markaz Bukhari,UCBz2ARUai7d0cr2Zo3i3n2A,https://www.youtube.com/channel/UCBz2ARUai7d0cr2Zo3i3n2A/videos,#5C3628,https://www.youtube.com/c/MarkazBukhari/videos
Markaz us-Sunnah,UCiIkBFQyLTInntJyK6Vi4Og,https://www.youtube.com/channel/UCiIkBFQyLTInntJyK6Vi4Og/videos,#A57F42,https://www.youtube.com/@musunnah/videos
Markaz - Us Sunnah Ghana,UCq3WXv4LqlCeagI4-viDL6w,https://www.youtube.com/channel/UCq3WXv4LqlCeagI4-viDL6w/videos,#862F43,https://www.youtube.com/@markaz-ussunnahgh7764/videos
MarkazMuaadh ibn Jabal,UCzt7JH-NWh7GKtVNG66kUkA,https://www.youtube.com/channel/UCzt7JH-NWh7GKtVNG66kUkA/videos,#FF5E65,https://www.youtube.com/c/MarkazMuaadh/videos
Masjid Al-Huda Sheffield,UCV1rtd29OafALtwTOcOC74w,https://www.youtube.com/channel/UCV1rtd29OafALtwTOcOC74w/videos,#008B47,https://www.youtube.com/c/MasjidAlHudaSheffield/videos
Masjid Al-Wahyain MN,UCZvQwWZyxTVAi-9p_lbPOzg,https://www.youtube.com/channel/UCZvQwWZyxTVAi-9p_lbPOzg/videos,#003F56,https://www.youtube.com/channel/UCZvQwWZyxTVAi-9p_lbPOzg/videos
Masjid AsSunnah,UC1CCdWAeMHezx5BKXlJ5tbg,https://www.youtube.com/channel/UC1CCdWAeMHezx5BKXlJ5tbg/videos,#386600,https://www.youtube.com/user/masjidassunnah/videos
Masjid Ibn Seereen,UCN8LjcssStJwmyBXf6G6RHg,https://www.youtube.com/channel/UCN8LjcssStJwmyBXf6G6RHg/videos,#348C9F,https://www.youtube.com/user/islaminbristol/videos
masjidfurqan,UCoMyi8rH9lApFTveFQRm6Vw,https://www.youtube.com/channel/UCoMyi8rH9lApFTveFQRm6Vw/videos,#9D534C,https://www.youtube.com/user/masjidfurqan/videos
Miraath Shqip,UCeXzTzwk7PhIy1qoFBcA-Dw,https://www.youtube.com/channel/UCeXzTzwk7PhIy1qoFBcA-Dw/videos,#AE1410,https://www.youtube.com/c/MiraathShqip/videos
MiraathDE,UCG61KpRqJwJskrSgzw8FAGA,https://www.youtube.com/channel/UCG61KpRqJwJskrSgzw8FAGA/videos,#9E733E,https://www.youtube.com/c/MiraathDE/videos
MiraathFR,UCWgJqXTkjciKAxX91xJd8Tw,https://www.youtube.com/channel/UCWgJqXTkjciKAxX91xJd8Tw/videos,#008296,https://www.youtube.com/c/MiraathFR/videos
MiraathPubs,UCFThgCj-hjj6KCtm7487PwQ,https://www.youtube.com/channel/UCFThgCj-hjj6KCtm7487PwQ/videos,#2D632A,https://www.youtube.com/c/MiraathPublications/videos
Muwahhideen Publications,UCwbHVTOT087c20EcVdkSWEg,https://www.youtube.com/channel/UCwbHVTOT087c20EcVdkSWEg/videos,#9D8569,https://www.youtube.com/c/MpubsOrg/videos
Oxford Salafi Dawah,UCOc1JQbcyj_GEXaemu4ZDvQ,https://www.youtube.com/channel/UCOc1JQbcyj_GEXaemu4ZDvQ/videos,#B29B5D,https://www.youtube.com/c/OxfordSalafiDawah/videos
Pristine Methodology Nigeria,UC1wva61cbDU1YZozpRUReLg,https://www.youtube.com/channel/UC1wva61cbDU1YZozpRUReLg/videos,#333332,https://www.youtube.com/channel/UC1wva61cbDU1YZozpRUReLg/videos
Salafi Centre of Manchester,UCBmFsEeXrDr_g92kKCSMaGg,https://www.youtube.com/channel/UCBmFsEeXrDr_g92kKCSMaGg/videos,#7D6D50,https://www.youtube.com/c/SalafiCentreUK/videos
Salafi Daʿwah Davao,UCMaH7oShBmntUJahxGj8FWQ,https://www.youtube.com/channel/UCMaH7oShBmntUJahxGj8FWQ/videos,#A1855D,https://www.youtube.com/salafidvo/videos
Salafī Reciters,UC5HO7zEPaFcHAnWoF7OKr6w,https://www.youtube.com/channel/UC5HO7zEPaFcHAnWoF7OKr6w/videos,#008E92,https://www.youtube.com/@salafi_reciters/videos
Salafi Recordings,UCiW4ADFCyUeWZLJnh8D797Q,https://www.youtube.com/channel/UCiW4ADFCyUeWZLJnh8D797Q/videos,#191C47,https://www.youtube.com/c/SalafiRecordings/videos
SalafiDawahNZ,UCbMsXZHUqqnJNIHPzeRlI0A,https://www.youtube.com/channel/UCbMsXZHUqqnJNIHPzeRlI0A/videos,#79BF53,https://www.youtube.com/user/SalafiDawahNZ/videos
SalafiDawahReading,UCgoq8CxsCJQlF7maSMj2KYQ,https://www.youtube.com/channel/UCgoq8CxsCJQlF7maSMj2KYQ/videos,#DB4719,https://www.youtube.com/user/SalafiDawahReading/videos
SalafiDawaLancs,UCphyZ_kDvcrSb4qkgQmjOHw,https://www.youtube.com/channel/UCphyZ_kDvcrSb4qkgQmjOHw/videos,#856B1F,https://www.youtube.com/user/SalafiDawaLancs/videos
Salafiyyah,UCJra3bpYnIWBaB72X_RfWYg,https://www.youtube.com/channel/UCJra3bpYnIWBaB72X_RfWYg/videos,#164F91,https://www.youtube.com/c/SalafiyyahUK/videos
SunnahCH,UCYUAWj1RHS0IpEH-qmbQPCQ,https://www.youtube.com/channel/UCYUAWj1RHS0IpEH-qmbQPCQ/videos,#073C3D,https://www.youtube.com/channel/UCYUAWj1RHS0IpEH-qmbQPCQ/videos
SunnahPublishing,UCldQyYdE5AwyhIv10n1Vd8g,https://www.youtube.com/channel/UCldQyYdE5AwyhIv10n1Vd8g/videos,#75829B,https://www.youtube.com/user/SunnahPublishing/videos
Sunni Dawah,UCbItTdeRSzCEY35okTN2f5g,https://www.youtube.com/channel/UCbItTdeRSzCEY35okTN2f5g/videos,#6B6D92,https://www.youtube.com/channel/UCbItTdeRSzCEY35okTN2f5g/videos
SunniAthari,UCl7gEITugfvsov6K9wD99BA,https://www.youtube.com/channel/UCl7gEITugfvsov6K9wD99BA/videos,#3B4C27,https://www.youtube.com/@SunniAthari/videos
Tawheed Rochdale,UCwZBmlpKvi3vWcuYE6eU0sg,https://www.youtube.com/channel/UCwZBmlpKvi3vWcuYE6eU0sg/videos,#85000B,https://www.youtube.com/c/TawheedRochdale/videos
The Manhaj of The Salaf,UCdLPjBfN8x9h_1ivPvLaZQA,https://www.youtube.com/channel/UCdLPjBfN8x9h_1ivPvLaZQA/videos,#505056,https://www.youtube.com/c/TheManhajofTheSalaf/videos
thesalafi,UChGcRyQV08muBq-XL2iDoFw,https://www.youtube.com/channel/UChGcRyQV08muBq-XL2iDoFw/videos,#FF7322,https://www.youtube.com/user/thesalafi/videos
Thorn in the Throats,UChrCClIzv_Fye1Lvi9wsSWQ,https://www.youtube.com/channel/UChrCClIzv_Fye1Lvi9wsSWQ/videos,#4F2F0E,https://www.youtube.com/c/ThornintheThroatschannel/videos
TROID,UCMa9v8bwRI7ogkQsgMVJJjg,https://www.youtube.com/channel/UCMa9v8bwRI7ogkQsgMVJJjg/videos,#ED2B2A,https://www.youtube.com/c/TROIDTube/videos
WestLondonDawah,UCAM-qPhgahdAQw0Yyi5jWGw,https://www.youtube.com/channel/UCAM-qPhgahdAQw0Yyi5jWGw/videos,#59867A,https://www.youtube.com/c/WestLondonDawah/videos
www.salafi.tv,UCVWj8j4YvN8bnAurdiTI2Qg,https://www.youtube.com/channel/UCVWj8j4YvN8bnAurdiTI2Qg/videos,#DA7E3C,https://www.youtube.com/c/SalafiTV/videos
Yāsīn ibn Jamāl (Salafī Translations),UCjLkiW6-4r-vPwL9VDXvEsA,https://www.youtube.com/channel/UCjLkiW6-4r-vPwL9VDXvEsA/videos,#7B4F50,https://www.youtube.com/@Yasin_ibn_jamal/videos
الدعوة السلفية • Ad-Daʼwatus Salafīyyah,UC52xDzLyRANzaatuPIqImKg,https://www.youtube.com/channel/UC52xDzLyRANzaatuPIqImKg/videos,#003F59,https://www.youtube.com/c/DawahSalafiyaah/videos
ردود على المصعفقة,UC-G2N9noTlT5zInMVJRBtTw,https://www.youtube.com/channel/UC-G2N9noTlT5zInMVJRBtTw/videos,#765327,https://www.youtube.com/channel/UC-G2N9noTlT5zInMVJRBtTw/videos
قناة ميراث الأنبياء المرئية,UCMgtvQNueoOwjAgo-fMF-lQ,https://www.youtube.com/channel/UCMgtvQNueoOwjAgo-fMF-lQ/vide,#215A6C,https://www.youtube.com/c/MiraathNetTV/videos
من هم الصعافقة ؟!,UCrOclQgXMablJeYwAQbxhFQ,https://www.youtube.com/channel/UCrOclQgXMablJeYwAQbxhFQ/videos,#50685B,https://www.youtube.com/channel/UCrOclQgXMablJeYwAQbxhFQ/videos
موقع الشيخ صالح الفوزان,UCS-XgiMGKaiQsZNkgwsDbYg,https://www.youtube.com/channel/UCS-XgiMGKaiQsZNkgwsDbYg/videos,#66797D,https://www.youtube.com/c/salihalfawzan/videos
